Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-24 09:15:00+05:30,607.7000122070312,610.0999755859375,607.0,609.5,0,0.0,0.0
2024-01-24 09:16:00+05:30,609.5499877929688,609.5999755859375,607.2000122070312,607.5,162495,0.0,0.0
2024-01-24 09:17:00+05:30,607.8499755859375,608.4500122070312,607.3499755859375,607.3499755859375,66410,0.0,0.0
2024-01-24 09:18:00+05:30,606.7999877929688,607.0999755859375,604.8499755859375,604.8499755859375,140462,0.0,0.0
2024-01-24 09:19:00+05:30,604.5499877929688,605.2000122070312,603.4000244140625,605.0,70358,0.0,0.0
2024-01-24 09:20:00+05:30,605.5499877929688,608.2999877929688,605.3499755859375,607.2000122070312,116349,0.0,0.0
2024-01-24 09:21:00+05:30,607.0,609.25,606.5,609.2000122070312,99104,0.0,0.0
2024-01-24 09:22:00+05:30,608.9500122070312,610.4000244140625,608.4500122070312,609.9500122070312,127333,0.0,0.0
2024-01-24 09:23:00+05:30,609.8499755859375,610.7000122070312,609.5,610.0499877929688,72192,0.0,0.0
2024-01-24 09:24:00+05:30,610.4500122070312,610.6500244140625,609.5999755859375,610.6500244140625,99934,0.0,0.0
2024-01-24 09:25:00+05:30,610.7999877929688,610.7999877929688,608.6500244140625,609.5,101475,0.0,0.0
2024-01-24 09:26:00+05:30,609.4500122070312,609.9500122070312,607.5999755859375,609.7999877929688,81100,0.0,0.0
2024-01-24 09:27:00+05:30,609.7000122070312,610.6500244140625,609.6500244140625,610.25,71787,0.0,0.0
2024-01-24 09:28:00+05:30,610.2000122070312,612.2000122070312,610.1500244140625,612.0499877929688,78996,0.0,0.0
2024-01-24 09:29:00+05:30,612.3499755859375,612.8499755859375,611.4500122070312,612.7999877929688,83531,0.0,0.0
2024-01-24 09:30:00+05:30,612.4500122070312,612.6500244140625,611.5999755859375,612.5,97749,0.0,0.0
2024-01-24 09:31:00+05:30,612.75,613.5,612.25,613.0,117244,0.0,0.0
2024-01-24 09:32:00+05:30,612.8499755859375,613.8499755859375,612.4000244140625,612.7999877929688,81213,0.0,0.0
2024-01-24 09:33:00+05:30,612.9000244140625,613.25,612.4000244140625,612.4000244140625,62454,0.0,0.0
2024-01-24 09:34:00+05:30,612.1500244140625,612.9000244140625,611.0499877929688,612.9000244140625,54609,0.0,0.0
2024-01-24 09:35:00+05:30,612.9000244140625,613.4500122070312,612.0999755859375,612.2999877929688,44255,0.0,0.0
2024-01-24 09:36:00+05:30,612.5499877929688,612.8499755859375,612.0499877929688,612.75,46551,0.0,0.0
2024-01-24 09:37:00+05:30,612.75,613.75,612.3499755859375,613.2999877929688,74015,0.0,0.0
2024-01-24 09:38:00+05:30,613.4500122070312,613.5,612.5499877929688,612.7999877929688,39699,0.0,0.0
2024-01-24 09:39:00+05:30,613.0499877929688,613.6500244140625,613.0,613.6500244140625,49438,0.0,0.0
2024-01-24 09:40:00+05:30,613.75,614.25,613.4000244140625,613.6500244140625,57488,0.0,0.0
2024-01-24 09:41:00+05:30,613.6500244140625,613.9500122070312,612.7999877929688,612.9500122070312,48684,0.0,0.0
2024-01-24 09:42:00+05:30,612.9500122070312,613.7000122070312,612.75,613.5,32833,0.0,0.0
2024-01-24 09:43:00+05:30,613.4500122070312,613.5499877929688,612.0999755859375,612.75,30718,0.0,0.0
2024-01-24 09:44:00+05:30,612.75,613.2999877929688,612.5,613.25,35103,0.0,0.0
2024-01-24 09:45:00+05:30,613.5499877929688,615.4500122070312,613.5499877929688,615.0999755859375,79179,0.0,0.0
2024-01-24 09:46:00+05:30,614.9500122070312,616.7999877929688,614.75,616.7999877929688,108231,0.0,0.0
2024-01-24 09:47:00+05:30,616.4000244140625,616.9000244140625,616.0,616.75,58638,0.0,0.0
2024-01-24 09:48:00+05:30,616.8499755859375,616.9000244140625,615.75,616.7000122070312,69188,0.0,0.0
2024-01-24 09:49:00+05:30,616.5499877929688,616.5999755859375,615.3499755859375,616.25,56775,0.0,0.0
2024-01-24 09:50:00+05:30,616.0999755859375,616.5499877929688,616.0,616.25,29809,0.0,0.0
2024-01-24 09:51:00+05:30,616.0499877929688,616.5,615.7999877929688,616.3499755859375,44277,0.0,0.0
2024-01-24 09:52:00+05:30,616.1500244140625,617.0,616.0,617.0,80270,0.0,0.0
2024-01-24 09:53:00+05:30,616.8499755859375,617.4000244140625,616.2999877929688,616.6500244140625,71723,0.0,0.0
2024-01-24 09:54:00+05:30,616.7999877929688,617.2999877929688,616.2999877929688,617.0,41657,0.0,0.0
2024-01-24 09:55:00+05:30,617.0,617.25,616.4500122070312,617.0,32254,0.0,0.0
2024-01-24 09:56:00+05:30,616.9500122070312,618.3499755859375,616.6500244140625,617.7999877929688,102166,0.0,0.0
2024-01-24 09:57:00+05:30,617.7999877929688,618.0,617.0499877929688,617.0999755859375,44817,0.0,0.0
